0	5.20136e-15
0.001	0.00289391
0.002	0.00578603
0.003	0.00867454
0.004	0.0115577
0.005	0.0144336
0.006	0.0173005
0.007	0.0201567
0.008	0.0230004
0.009	0.0258297
0.01	0.0286431
0.011	0.0314386
0.012	0.0342146
0.013	0.0369693
0.014	0.0397011
0.015	0.0424083
0.016	0.0450891
0.017	0.047742
0.018	0.0503654
0.019	0.0529575
0.02	0.0555169
0.021	0.0580419
0.022	0.0605311
0.023	0.0629828
0.024	0.0653957
0.025	0.0677682
0.026	0.0700989
0.027	0.0723864
0.028	0.0746294
0.029	0.0768265
0.03	0.0789764
0.031	0.0810778
0.032	0.0831295
0.033	0.0851302
0.034	0.0870789
0.035	0.0889742
0.036	0.0908153
0.037	0.092601
0.038	0.0943302
0.039	0.096002
0.04	0.0976155
0.041	0.0991697
0.042	0.100664
0.043	0.102097
0.044	0.103469
0.045	0.104778
0.046	0.106024
0.047	0.107206
0.048	0.108324
0.049	0.109377
0.05	0.110364
0.051	0.111286
0.052	0.112141
0.053	0.11293
0.054	0.113651
0.055	0.114306
0.056	0.114892
0.057	0.115411
0.058	0.115862
0.059	0.116246
0.06	0.116561
0.061	0.116808
0.062	0.116987
0.063	0.117098
0.064	0.117142
0.065	0.117118
0.066	0.117027
0.067	0.116868
0.068	0.116643
0.069	0.116352
0.07	0.115994
0.071	0.115571
0.072	0.115083
0.073	0.114531
0.074	0.113915
0.075	0.113235
0.076	0.112493
0.077	0.111689
0.078	0.110824
0.079	0.109898
0.08	0.108914
0.081	0.10787
0.082	0.106769
0.083	0.105611
0.084	0.104398
0.085	0.103129
0.086	0.101807
0.087	0.100433
0.088	0.099007
0.089	0.0975309
0.09	0.0960058
0.091	0.0944329
0.092	0.0928134
0.093	0.0911487
0.094	0.0894402
0.095	0.0876891
0.096	0.0858969
0.097	0.084065
0.098	0.0821947
0.099	0.0802878
0.1	0.0783455
0.101	0.0763695
0.102	0.0743612
0.103	0.0723224
0.104	0.0702546
0.105	0.0681595
0.106	0.0660387
0.107	0.063894
0.108	0.0617271
0.109	0.0595398
0.11	0.0573338
0.111	0.0551111
0.112	0.0528737
0.113	0.0506234
0.114	0.0483623
0.115	0.0460926
0.116	0.0438166
0.117	0.0415365
0.118	0.0392551
0.119	0.0369751
0.12	0.0346995
0.121	0.0324318
0.122	0.0301761
0.123	0.0279371
0.124	0.0257204
0.125	0.0235334
0.126	0.0213853
0.127	0.0192886
0.128	0.0172608
0.129	0.0153264
0.13	0.0135218
0.131	0.0119004
0.132	0.0105392
0.133	0.00954035
0.134	0.00901297
0.135	0.00902667
0.136	0.00956532
0.137	0.0105352
0.138	0.0118176
0.139	0.0133103
0.14	0.0149388
0.141	0.0166521
0.142	0.0184163
0.143	0.0202081
0.144	0.0220114
0.145	0.0238146
0.146	0.0256091
0.147	0.0273884
0.148	0.0291475
0.149	0.0308822
0.15	0.0325892
0.151	0.0342657
0.152	0.0359093
