#Creator: pendulumdriveEventBuffer
#Creation time: Thu Apr 11 16:06:28 2019
#Time	Pos
#[s]	[au]
0.050	454
0.101	456
0.151	457
0.201	457
0.251	457
0.301	458
0.352	456
0.402	456
0.452	454
0.503	454
0.553	456
0.603	456
0.654	456
0.704	457
0.754	457
0.804	459
0.854	459
0.904	458
0.955	457
1.005	456
1.055	455
1.105	453
1.155	454
1.206	452
1.256	454
1.306	455
1.356	456
1.407	456
1.457	457
1.508	457
1.558	458
1.608	457
1.658	456
1.708	455
1.759	455
1.809	454
1.859	455
1.909	454
1.959	456
2.009	459
2.060	459
2.110	459
2.160	460
2.210	458
2.260	456
2.311	456
2.362	456
2.412	452
2.462	454
2.512	453
2.562	453
2.613	456
2.663	457
2.713	457
2.763	457
2.813	457
2.863	458
2.914	457
2.964	456
3.014	455
3.064	455
3.114	455
3.164	456
3.216	456
3.266	456
3.316	457
3.366	459
3.416	459
3.467	457
3.517	458
3.567	457
3.617	456
3.667	455
3.717	455
3.768	453
3.818	454
3.868	455
3.918	456
3.968	455
4.018	457
4.069	457
4.120	457
4.170	458
4.220	456
4.270	456
4.321	455
4.371	455
4.421	454
4.471	455
4.521	456
4.571	457
4.622	459
4.672	458
4.722	458
4.772	458
4.822	457
4.872	457
4.923	456
4.973	454
5.024	454
5.074	454
5.124	454
5.175	455
5.225	455
5.275	456
5.325	456
5.375	456
5.425	457
5.476	457
5.526	457
5.576	456
11.036	459
11.086	461
11.137	460
11.187	461
11.238	461
11.288	461
11.338	460
11.388	459
11.438	458
11.489	457
11.539	456
11.589	454
11.639	452
11.689	452
11.739	451
11.790	452
11.840	450
11.890	450
11.940	450
11.990	452
12.042	452
12.092	454
12.142	454
12.192	456
12.242	456
12.292	457
12.343	458
12.393	458
12.443	458
12.493	460
12.543	460
12.593	459
12.644	460
12.694	459
12.744	456
12.794	456
12.844	456
12.896	454
12.946	452
12.996	452
13.046	451
13.096	452
13.146	451
13.197	450
13.247	452
13.297	452
13.347	453
13.397	453
13.447	454
13.498	455
13.548	456
13.598	456
13.648	456
13.698	458
13.749	458
13.800	458
13.850	458
13.900	457
13.950	459
14.000	457
14.051	458
14.101	455
14.151	455
14.201	454
14.251	453
14.301	452
14.352	452
14.402	452
14.452	451
14.502	452
14.552	453
14.603	453
14.653	453
14.704	454
14.754	454
14.804	460
14.854	456
14.905	457
14.955	456
15.005	457
15.055	458
15.105	457
15.155	458
15.206	457
15.256	457
15.306	457
15.356	456
15.406	455
15.457	455
15.507	454
15.557	455
15.608	454
15.658	452
15.708	454
15.759	453
15.809	454
15.859	454
15.909	455
15.959	456
16.010	455
16.060	454
16.110	456
16.160	455
16.210	455
16.260	456
16.311	456
16.361	456
16.411	451
16.461	457
16.512	456
16.562	456
16.613	455
16.663	455
16.713	456
16.763	455
16.813	452
16.864	455
16.914	454
16.964	454
17.014	454
17.064	454
17.114	454
17.165	455
17.215	454
17.265	455
17.315	456
17.365	456
17.416	456
17.467	455
17.517	455
17.567	457
17.617	454
17.667	456
17.718	455
17.768	456
17.818	456
17.868	454
17.918	456
17.968	454
18.019	454
18.069	455
18.119	455
18.169	454
18.219	454
18.269	455
18.321	456
18.371	456
18.421	453
18.471	457
18.521	455
18.572	455
18.622	456
18.672	456
18.722	455
18.772	456
18.822	456
18.873	456
18.923	455
18.973	456
19.023	455
19.073	455
19.123	456
19.174	455
19.225	455
19.275	455
19.325	454
19.375	454
19.426	456
19.476	454
19.526	455
19.576	455
19.626	454
19.676	455
19.727	454
19.777	456
19.827	456
19.877	454
19.927	455
19.978	455
20.028	454
20.078	454
20.129	455
20.179	456
20.229	454
20.280	457
20.330	456
20.380	454
20.430	455
20.480	456
20.530	454
20.581	455
20.631	455
20.681	455
20.731	454
20.781	455
20.832	454
20.882	455
20.932	455
20.982	455
21.033	454
21.083	455
21.134	451
21.184	452
21.234	453
21.284	453
21.334	451
21.384	453
21.435	452
21.485	453
21.535	453
21.585	454
21.635	458
21.686	459
21.736	459
21.786	461
21.836	462
21.887	462
21.937	462
21.988	461
22.038	457
22.088	457
22.138	456
22.188	455
22.239	454
22.289	455
22.339	454
22.389	453
22.439	454
22.489	451
22.540	454
22.590	454
22.640	453
22.690	453
22.740	452
22.791	453
22.842	454
22.892	455
22.942	457
22.992	459
23.042	460
23.093	461
23.143	463
23.193	462
23.243	462
23.293	461
23.343	458
23.394	458
23.444	456
23.494	455
23.544	455
23.594	454
23.644	455
23.696	455
23.746	453
23.796	455
23.846	455
23.896	453
23.947	454
23.997	453
24.047	453
24.097	453
24.147	454
24.197	455
24.248	457
24.298	457
24.348	460
24.398	460
24.448	459
24.498	460
24.549	461
24.600	460
24.650	458
24.700	457
