#Creator: pendulumdriveEventBuffer
#Creation time: Thu Apr 11 14:41:38 2019
#Time	Pos
#[s]	[au]
0.051	479
0.101	470
0.151	456
0.201	432
0.251	427
0.302	414
0.352	398
0.402	394
0.452	390
0.502	387
0.552	387
0.603	384
0.653	400
0.704	409
0.754	418
0.804	436
0.854	449
0.905	465
0.955	480
1.005	479
1.055	497
1.105	503
1.156	501
1.206	503
1.256	494
1.306	488
1.356	477
1.406	455
1.457	448
1.507	434
1.557	416
1.608	406
1.658	395
1.709	387
1.759	382
1.809	376
1.859	384
1.909	390
1.959	395
2.010	412
2.060	426
2.110	442
2.160	458
2.210	465
2.260	488
2.311	498
2.361	505
2.411	513
2.461	507
2.512	509
2.563	502
2.613	480
2.663	478
2.713	461
2.763	443
2.813	428
2.864	415
2.914	398
2.964	387
3.014	372
3.064	372
3.114	372
3.165	369
3.215	382
3.265	398
3.315	408
3.365	425
3.417	436
3.467	461
3.517	477
3.567	493
3.617	507
3.667	499
3.718	523
3.768	523
3.818	512
3.868	512
3.918	500
3.968	485
4.019	468
4.069	439
4.119	430
4.169	410
4.219	387
4.270	378
4.321	367
4.371	356
4.421	359
4.471	359
4.521	368
4.572	379
4.622	390
4.672	414
4.722	435
4.772	454
4.822	476
4.873	483
4.923	513
4.973	525
5.023	525
5.073	537
5.124	531
5.175	529
5.225	516
5.275	488
5.325	483
5.375	461
5.426	433
5.476	416
5.526	395
5.576	376
5.626	363
5.677	348
5.727	347
5.777	347
5.827	348
5.877	363
5.927	379
5.978	396
6.028	418
6.079	434
6.129	466
6.179	489
6.229	502
6.280	526
6.330	536
6.380	547
6.430	547
6.480	528
6.531	537
6.581	522
6.631	498
6.681	481
6.731	457
6.781	432
6.832	407
6.882	378
6.932	365
6.983	351
7.033	336
7.083	335
7.134	339
7.184	343
7.234	357
7.284	369
7.334	396
7.385	420
7.435	442
7.485	472
7.535	495
7.585	519
7.635	536
7.686	531
7.736	556
7.786	556
7.836	549
7.887	542
7.938	523
7.988	506
8.038	481
8.088	444
8.138	427
8.188	401
8.239	373
8.289	357
8.339	343
8.389	332
8.439	328
8.489	325
8.540	338
8.590	351
8.640	366
8.690	394
8.740	420
8.792	446
8.842	474
8.892	489
8.942	524
8.992	541
9.042	553
9.093	562
9.143	556
9.193	559
9.243	547
9.293	519
9.343	508
9.394	483
9.444	452
9.494	427
9.544	422
9.594	375
9.645	354
9.696	334
9.746	328
9.796	323
9.846	320
9.896	334
9.947	359
9.997	367
10.047	392
10.097	410
10.147	446
10.197	477
10.248	500
10.298	525
10.348	522
10.398	557
10.448	563
10.499	556
10.549	560
10.600	548
10.650	531
10.700	509
10.750	474
10.801	456
10.851	427
10.901	395
10.951	376
11.001	355
11.051	336
11.102	327
11.152	327
11.202	323
11.252	332
11.302	341
11.353	365
11.403	389
11.453	414
11.504	444
11.554	463
11.604	500
11.655	523
11.705	534
11.755	556
11.805	561
11.855	563
11.906	561
11.956	534
12.006	533
12.056	512
12.106	480
12.156	460
12.207	431
12.257	404
12.307	378
12.357	352
12.408	339
12.458	330
12.509	322
12.559	324
12.609	334
12.659	344
12.709	365
12.760	380
12.810	413
12.860	441
12.910	464
12.960	495
13.010	516
13.061	538
13.111	552
13.161	546
13.211	563
13.261	559
13.312	543
13.363	534
13.413	510
13.463	489
13.513	462
13.563	427
13.614	407
13.664	383
13.714	357
13.764	344
13.814	335
13.864	326
13.915	327
13.965	328
14.015	346
14.065	364
14.115	380
14.165	410
14.217	436
14.267	464
14.317	490
14.367	502
14.417	534
14.468	546
14.518	552
14.568	559
14.618	552
14.668	549
14.718	533
14.769	501
14.819	491
14.869	465
14.919	434
14.969	412
15.019	389
15.070	366
15.121	349
15.171	334
15.221	331
15.271	331
15.322	330
15.372	346
15.422	365
15.472	384
15.522	408
15.572	427
15.623	460
15.673	485
15.723	507
15.773	528
15.823	543
15.874	552
15.924	554
15.974	543
16.025	546
16.075	532
16.125	512
16.176	493
16.226	479
16.276	444
16.326	418
16.376	389
16.426	372
16.477	354
16.527	339
16.577	336
16.627	347
16.677	337
16.728	348
16.778	359
16.828	383
16.878	406
16.929	427
16.979	455
17.030	470
17.080	503
17.130	522
17.180	527
17.230	547
17.280	549
17.331	551
17.381	545
17.431	516
17.481	515
17.531	495
17.582	464
17.632	448
17.682	421
17.732	398
17.782	377
17.833	359
17.884	347
17.934	341
17.984	334
18.034	341
18.084	349
18.134	360
18.185	380
18.235	399
18.285	427
18.335	450
18.385	468
18.436	497
18.486	515
18.536	531
18.586	542
18.636	532
18.687	548
18.738	543
18.788	524
18.838	517
18.888	496
18.938	475
18.989	452
19.039	419
19.089	405
19.139	384
19.189	362
19.239	353
19.290	346
19.340	341
19.390	341
19.440	345
19.490	362
19.540	378
19.592	393
19.642	421
19.692	444
19.742	469
19.792	491
19.843	494
19.893	526
19.943	537
19.993	538
20.043	545
20.093	536
20.144	532
20.194	517
20.244	486
20.294	480
20.344	457
20.394	428
20.445	410
20.496	390
20.546	372
20.596	357
20.646	345
20.697	343
20.747	344
20.797	344
20.847	360
20.897	377
20.947	395
20.998	415
21.048	430
21.098	464
21.148	484
21.198	500
21.248	520
21.299	527
21.349	541
21.400	542
21.450	526
21.500	532
21.551	521
21.601	500
21.651	484
21.701	459
21.751	438
21.801	416
21.852	390
21.902	377
21.952	361
22.002	346
22.052	346
22.102	347
22.153	351
22.203	359
22.253	369
22.304	391
22.354	412
22.405	431
22.455	457
22.505	475
22.555	499
22.605	515
22.655	516
22.706	537
22.756	540
22.806	538
22.856	533
22.906	515
22.957	506
23.007	487
23.057	459
23.107	446
23.157	422
23.208	400
23.259	384
23.309	398
23.359	357
23.409	349
23.459	344
23.509	351
23.560	358
23.610	368
23.660	388
23.710	410
23.760	428
23.811	451
23.861	466
23.911	492
23.961	509
24.011	525
24.061	533
24.113	518
24.163	538
24.213	534
24.263	512
24.313	510
24.363	491
24.414	472
24.464	451
24.514	423
24.564	407
24.614	388
24.665	368
24.715	360
24.765	351
24.815	348
24.865	351
24.915	353
24.966	369
25.017	383
25.067	396
25.117	423
25.167	443
25.218	466
25.268	487
25.318	493
25.368	521
25.418	532
25.468	529
25.519	540
25.569	533
25.619	527
25.669	514
25.719	485
25.769	477
25.820	456
25.870	430
25.921	414
25.971	393
26.021	376
26.072	364
26.122	350
26.172	350
26.222	350
26.272	352
26.322	365
26.373	380
26.423	397
26.473	417
26.523	430
26.573	461
26.623	481
26.674	496
26.724	517
26.774	524
26.825	537
26.875	538
26.926	523
26.976	530
27.026	516
27.076	497
27.126	483
27.176	461
27.227	441
27.277	420
27.327	392
27.377	380
27.427	365
27.477	352
27.528	350
27.578	351
27.628	353
27.678	362
27.729	370
27.780	392
27.830	412
27.880	428
27.930	455
27.980	474
28.030	496
28.081	512
28.131	514
28.181	534
28.231	537
28.281	534
28.331	532
28.382	516
28.432	506
28.482	488
28.532	461
28.582	447
