#Creator: pendulumdriveEventBuffer
#Creation time: Thu Apr 11 14:41:38 2019
#Time	Pos
#[s]	[au]
0.051	435
0.101	426
0.151	421
0.201	415
0.251	402
0.302	407
0.353	405
0.403	400
0.453	406
0.503	411
0.553	414
0.604	419
0.654	421
0.704	435
0.754	441
0.804	448
0.855	458
0.905	455
0.955	466
1.005	470
1.055	457
1.105	466
1.156	461
1.206	455
1.257	447
1.307	433
1.357	428
1.407	420
1.458	405
1.508	404
1.558	397
1.608	387
1.658	392
1.709	395
1.759	396
1.809	402
1.859	402
1.909	419
1.959	429
2.010	438
2.060	450
2.110	447
2.161	469
2.211	475
2.261	469
2.312	481
2.362	479
2.412	475
2.462	469
2.512	449
2.563	449
2.613	437
2.663	418
2.713	413
2.763	402
2.813	392
2.864	386
2.914	372
2.964	381
3.014	382
3.065	381
3.116	394
3.166	404
3.216	415
3.266	430
3.316	432
3.366	456
3.417	468
3.467	472
3.517	486
3.567	489
3.617	493
3.667	491
3.718	471
3.768	477
3.818	466
3.868	448
3.918	438
3.970	423
4.020	409
4.070	396
4.120	377
4.170	375
4.220	370
4.271	365
4.321	371
4.371	376
4.421	385
4.471	398
4.521	402
4.572	427
4.622	444
4.672	454
4.722	474
4.772	485
4.823	497
4.874	502
4.924	490
4.974	502
5.024	496
5.074	481
5.125	473
5.175	456
5.225	441
5.275	424
5.325	397
5.375	390
5.426	376
5.476	360
5.526	359
5.576	359
5.626	359
5.677	365
5.727	368
5.778	389
5.828	405
5.878	418
5.928	441
5.979	459
6.029	479
6.079	493
6.129	487
6.179	512
6.229	515
6.280	509
6.330	509
6.380	493
6.430	483
6.480	466
6.531	437
6.581	425
6.632	406
6.682	384
6.732	372
6.782	359
6.833	350
6.883	346
6.933	341
6.983	352
7.033	363
7.084	373
7.134	396
7.184	414
7.234	437
7.284	459
7.334	465
7.385	495
7.435	510
7.485	519
7.536	527
7.586	519
7.636	521
7.687	511
7.737	484
7.787	479
7.837	456
7.887	431
7.938	412
7.988	391
8.038	368
8.088	354
8.138	336
8.188	336
8.239	334
8.289	336
8.339	349
8.389	369
8.440	382
8.490	404
8.541	420
8.591	452
8.641	475
8.691	496
8.741	514
8.792	510
8.842	535
8.892	537
8.942	524
8.992	526
9.042	509
9.093	491
9.143	469
9.193	435
9.243	419
9.293	394
9.344	366
9.395	353
9.445	338
9.495	324
9.545	325
9.595	323
9.646	333
9.696	349
9.746	360
9.796	390
9.846	416
9.896	440
9.947	468
9.997	479
10.047	513
10.097	529
10.147	532
10.197	547
10.249	544
10.299	540
10.349	527
10.399	493
10.449	486
10.500	460
10.550	427
10.600	405
10.650	379
10.700	356
10.750	336
10.801	320
10.851	317
10.901	316
10.951	314
11.001	331
11.052	350
11.102	371
11.153	397
11.203	414
11.253	453
11.303	480
11.354	496
11.404	527
11.454	539
11.504	552
11.554	554
11.604	531
11.655	543
11.705	525
11.755	499
11.805	479
11.855	449
11.906	421
11.956	392
12.006	360
12.057	342
12.107	325
12.157	308
12.208	308
12.258	311
12.308	317
12.358	331
12.408	345
12.458	376
12.509	403
12.559	430
12.609	464
12.659	488
12.709	518
12.760	538
12.810	536
12.860	559
12.910	559
12.961	549
13.011	542
13.062	518
13.112	500
13.162	471
13.212	430
13.262	407
13.312	377
13.363	348
13.413	329
13.463	315
13.513	303
13.563	300
13.614	299
13.664	313
13.714	331
13.764	350
13.814	383
13.865	414
13.916	446
13.966	479
14.016	494
14.066	529
14.116	547
14.167	557
14.217	565
14.267	540
14.317	557
14.367	540
14.417	506
14.468	490
14.518	458
14.568	426
14.618	398
14.668	375
14.718	341
14.770	320
14.820	300
14.870	298
14.920	298
14.970	298
15.021	315
15.071	346
15.121	362
15.171	393
15.221	417
15.271	457
15.322	486
15.372	512
15.422	539
15.472	534
15.522	565
15.572	568
15.623	554
15.674	555
15.724	535
15.774	509
15.824	481
15.875	443
15.925	417
15.975	387
16.025	352
16.075	329
16.125	311
16.176	294
16.226	293
16.276	291
16.326	302
16.376	318
16.426	333
16.477	371
16.527	402
16.578	433
16.628	467
16.678	485
16.729	525
16.779	547
16.829	553
16.879	572
16.929	570
16.979	567
17.030	554
17.080	512
17.130	504
17.180	472
17.230	433
17.280	407
17.331	375
17.381	345
17.432	320
17.482	299
17.532	292
17.583	289
17.633	288
17.683	302
17.733	323
17.783	346
17.833	378
17.884	402
17.934	444
17.984	477
18.034	502
18.084	535
18.135	551
18.185	570
18.235	575
18.285	555
18.336	569
18.386	552
18.437	520
18.487	498
18.537	465
18.587	432
18.637	398
18.687	360
18.738	337
18.788	313
18.838	292
18.888	288
18.938	287
18.989	290
19.039	303
19.089	318
19.139	352
19.189	384
19.240	411
19.291	452
19.341	482
19.391	514
19.441	542
19.491	543
19.541	574
19.592	579
19.642	571
19.692	568
19.742	544
19.792	525
19.843	491
19.893	450
19.943	424
19.993	391
20.043	352
20.093	330
20.145	311
20.195	292
20.245	283
20.295	280
20.345	289
20.396	304
