#Creator: pendulumdriveEventBuffer
#Creation time: Thu Apr 11 14:41:38 2019
#Time	Pos
#[s]	[au]
0.050	299
0.100	315
0.150	300
0.200	316
0.250	328
0.301	360
0.352	394
0.402	424
0.452	459
0.502	479
0.552	522
0.603	547
0.653	553
0.703	578
0.753	580
0.803	581
0.854	571
0.904	533
0.954	527
1.004	496
1.054	456
1.104	431
1.155	397
1.205	361
1.256	338
1.306	315
1.356	301
1.406	294
1.457	294
1.507	302
1.557	317
1.607	339
1.657	370
1.708	403
1.758	434
1.808	469
1.858	500
1.908	528
1.958	550
2.009	569
2.059	578
2.110	560
2.160	576
2.210	563
2.261	535
2.311	520
2.361	488
2.411	457
2.461	426
2.511	391
2.562	369
2.612	345
2.662	323
2.712	314
2.762	310
2.812	305
2.863	315
2.913	326
2.963	350
3.014	374
3.064	396
3.115	433
3.165	460
3.215	488
3.265	513
3.315	519
3.365	549
3.416	557
3.466	550
3.516	559
3.566	548
3.616	534
3.666	514
3.717	477
3.767	463
3.817	435
3.867	402
3.918	384
3.969	361
4.019	342
4.069	331
4.119	322
4.169	323
4.219	328
4.270	332
4.320	354
4.370	375
4.420	400
4.470	426
4.520	441
4.571	478
4.621	502
4.671	516
4.721	537
4.771	542
4.823	551
4.873	550
4.923	528
4.973	530
5.023	510
5.073	482
5.124	464
5.174	437
5.224	412
5.274	386
5.324	359
5.374	346
5.425	335
5.475	325
5.525	326
5.575	331
5.625	340
5.676	358
5.727	370
5.777	401
5.827	428
5.877	452
5.927	479
5.978	500
6.028	524
6.078	539
6.128	535
6.178	551
6.229	549
6.279	537
6.329	528
6.379	504
6.429	485
6.479	459
6.530	422
6.580	404
6.631	379
6.681	352
6.731	339
6.781	331
6.832	322
6.882	321
6.932	322
6.982	339
7.032	358
7.083	376
7.133	408
7.183	435
7.233	464
7.283	491
7.333	505
7.384	535
7.434	547
7.484	555
7.535	559
7.585	554
7.635	546
7.686	529
7.736	496
7.786	479
7.836	450
7.886	417
7.937	393
7.987	373
8.037	344
8.087	328
8.137	314
8.187	314
8.238	316
8.288	320
8.338	339
8.388	367
8.439	386
8.490	416
8.540	440
8.590	477
8.640	503
8.690	528
8.740	547
8.791	540
