#Creator: pendulumdriveEventBuffer
#Creation time: Thu Apr 11 14:41:38 2019
#Time	Pos
#[s]	[au]
0.051	395
0.101	400
0.151	398
0.201	392
0.251	402
0.302	407
0.352	414
0.402	425
0.452	424
0.502	446
0.552	455
0.603	459
0.653	475
0.704	480
0.754	486
0.804	489
0.854	476
0.905	484
0.955	478
1.005	463
1.055	459
1.105	446
1.156	432
1.206	421
1.256	401
1.306	399
1.356	390
1.406	379
1.457	381
1.507	382
1.558	384
1.608	393
1.658	396
1.709	414
1.759	428
1.809	437
1.859	458
1.909	471
1.959	485
2.010	494
2.060	490
2.110	505
2.160	504
2.210	494
2.260	491
2.311	480
2.361	467
2.411	453
2.462	429
2.512	420
2.563	404
2.613	387
2.663	380
2.713	374
2.763	368
2.813	370
2.864	368
2.914	383
2.964	395
3.014	404
3.064	424
3.114	440
3.165	458
3.215	474
3.265	476
3.315	497
3.366	505
3.417	504
3.467	510
3.517	501
3.567	496
3.617	485
3.667	462
3.718	454
3.768	435
3.818	413
3.868	405
3.918	390
3.968	380
4.019	373
4.069	365
4.119	371
4.169	377
4.219	380
4.271	397
4.321	411
4.371	427
4.421	444
4.471	452
4.521	475
4.572	486
4.622	491
4.672	501
4.722	492
4.772	501
4.822	495
4.873	478
4.923	475
4.973	462
5.023	443
5.073	430
5.124	417
5.175	404
5.225	395
5.275	384
5.325	383
5.375	381
5.426	382
5.476	391
5.526	403
5.576	410
5.626	423
5.677	428
5.727	449
5.777	461
5.827	470
5.877	482
5.927	479
5.978	491
6.028	490
6.079	478
6.129	481
6.179	470
6.229	459
6.280	451
6.330	431
6.380	429
6.430	418
6.480	404
6.531	403
6.581	398
6.631	394
6.681	397
6.731	393
6.781	405
6.832	412
6.882	413
6.932	429
6.983	439
7.033	445
7.083	457
7.134	453
7.184	469
7.234	471
7.284	468
7.334	474
7.385	471
7.435	465
7.485	463
7.535	448
7.585	450
7.635	441
7.686	430
7.736	429
7.786	419
7.836	413
7.887	412
7.937	403
7.988	410
8.038	410
8.088	407
8.138	415
8.188	419
8.239	423
8.289	429
8.339	427
8.389	442
8.439	448
8.489	448
8.540	458
8.590	461
8.640	465
8.690	466
8.740	458
8.792	465
8.842	465
8.892	455
8.942	456
8.992	451
9.042	445
9.093	439
9.143	425
9.193	426
9.243	422
9.293	410
9.343	411
9.394	409
9.444	408
9.494	409
9.544	403
9.594	414
9.645	417
9.696	417
9.746	432
9.796	438
9.846	447
9.896	455
9.947	453
9.997	469
10.047	475
10.097	473
10.147	479
10.197	475
10.248	476
10.298	470
10.348	453
10.398	454
10.448	444
10.499	430
10.549	425
10.600	415
10.650	406
10.700	399
10.750	388
10.801	394
10.851	395
10.901	393
10.951	403
11.001	411
11.051	420
11.102	430
11.152	436
11.202	456
11.252	466
11.302	471
11.353	485
11.403	485
11.454	491
11.504	492
11.554	476
11.604	481
11.655	471
11.705	456
11.755	447
11.805	446
11.855	421
11.905	410
11.956	393
12.006	391
12.056	386
12.106	380
12.156	385
12.207	394
12.257	396
12.307	408
12.358	413
12.408	434
12.458	447
12.509	458
12.559	473
12.609	475
12.659	491
12.709	495
12.760	487
12.810	494
12.860	487
12.910	476
12.960	470
13.010	447
13.061	442
13.111	429
13.161	408
13.211	403
13.262	392
13.312	384
13.363	385
13.413	379
13.463	388
13.513	395
13.563	396
13.614	416
13.664	428
13.714	439
13.764	455
13.814	456
13.864	477
13.915	485
13.965	483
14.015	492
14.065	491
14.115	485
14.166	480
14.217	459
14.267	459
14.317	445
14.367	427
14.417	421
14.468	412
14.518	400
14.568	396
14.618	385
14.668	391
14.718	394
14.769	394
14.819	405
14.869	415
14.919	422
14.969	437
15.019	437
15.071	457
15.121	468
15.171	468
15.221	479
15.271	480
15.322	480
15.372	479
15.422	464
15.472	467
15.522	459
15.572	444
15.623	441
15.673	431
15.723	422
15.773	416
15.823	404
15.873	408
15.924	405
15.975	400
16.025	408
16.075	412
16.125	417
16.176	423
16.226	423
16.276	437
16.326	445
16.376	445
16.426	456
16.477	458
16.527	465
16.577	466
16.627	455
16.677	465
16.728	462
16.778	454
16.828	455
16.879	450
16.929	445
16.979	440
17.030	426
17.080	431
17.130	428
17.180	419
17.230	422
17.280	419
17.331	419
17.381	419
17.431	414
17.481	422
17.531	424
17.582	424
17.632	432
17.682	433
17.732	439
17.783	443
17.833	437
17.884	451
17.934	454
17.984	452
18.034	461
18.084	458
18.134	461
18.185	461
18.235	450
18.285	457
18.335	453
18.385	444
18.436	445
18.486	437
18.536	433
18.586	426
18.636	417
18.687	418
18.738	415
18.788	408
18.838	413
18.888	413
18.938	415
18.989	419
19.039	417
19.089	429
19.139	436
19.189	440
19.239	451
19.290	453
19.340	465
19.390	469
19.440	465
19.490	475
19.540	473
19.592	469
19.642	468
19.692	455
19.742	455
19.792	446
19.843	430
19.893	427
19.943	417
19.993	408
20.043	405
20.093	395
20.144	399
20.194	400
20.244	400
20.294	406
20.344	414
20.394	421
20.445	435
20.496	434
20.546	455
20.596	466
20.646	466
20.697	480
20.747	484
20.797	484
20.847	484
20.897	470
20.947	474
20.998	465
21.048	447
21.098	443
21.148	431
21.198	417
21.248	410
21.299	396
21.349	395
21.400	391
21.450	387
21.500	393
21.551	399
21.601	405
21.651	417
21.701	421
21.751	441
21.801	453
21.852	456
21.902	475
21.952	482
22.002	487
22.052	490
22.102	478
22.153	487
22.203	479
22.254	464
22.304	459
22.354	447
22.405	434
22.455	424
22.505	405
22.555	403
22.605	396
22.655	387
22.706	390
22.756	393
22.806	396
22.856	405
22.906	407
22.957	425
23.007	437
23.057	443
23.107	461
23.158	469
23.208	478
23.259	485
23.309	476
23.359	487
23.409	483
23.459	473
23.509	469
23.560	459
23.610	450
23.660	439
23.710	421
23.760	418
23.811	409
23.861	400
23.911	400
23.961	399
24.011	398
24.062	402
24.113	402
24.163	416
24.213	425
24.263	429
24.313	444
24.363	451
24.414	462
24.464	468
24.514	464
24.564	476
24.614	475
24.665	469
24.715	471
24.765	462
24.815	458
24.865	450
24.915	435
24.967	435
25.017	428
25.067	418
25.117	418
25.167	414
25.217	412
25.268	412
25.318	407
25.368	416
25.418	421
25.468	424
25.519	433
25.569	436
25.619	445
25.669	449
25.719	446
25.769	457
25.820	459
25.871	456
25.921	461
25.971	454
26.021	457
26.072	454
26.122	442
26.172	449
26.222	446
26.272	436
26.322	437
26.373	431
26.423	432
26.473	430
26.523	421
26.573	428
26.623	427
26.674	424
26.724	429
26.775	428
26.825	431
26.875	433
26.926	428
26.976	437
27.026	438
27.076	438
27.126	443
27.176	435
27.227	447
27.277	449
27.327	443
27.377	453
27.427	453
27.477	452
27.528	455
27.578	442
27.628	452
27.679	450
27.729	443
27.780	445
27.830	441
27.880	435
27.930	432
27.980	422
28.030	425
28.081	421
28.131	416
28.181	420
28.231	420
28.281	418
28.331	423
28.382	419
28.432	431
28.482	436
28.532	436
28.583	448
28.634	453
28.684	457
28.734	464
28.784	455
28.834	469
28.884	469
28.935	460
28.985	463
29.035	457
29.085	451
29.135	445
29.185	430
29.236	430
29.286	423
29.336	411
29.386	411
29.436	407
29.488	404
29.538	408
29.588	404
29.638	414
29.688	421
29.738	424
29.789	436
29.839	445
29.889	455
29.939	464
29.989	458
30.040	475
30.090	479
30.140	474
30.190	478
30.240	472
30.290	468
30.341	461
30.392	443
30.442	442
30.492	431
30.542	416
30.592	413
30.643	406
30.693	401
30.743	398
30.793	395
30.843	401
30.894	406
30.944	408
30.994	424
31.044	431
31.094	443
31.144	455
31.195	456
31.245	473
31.296	479
31.346	476
31.396	485
31.446	481
31.497	480
31.547	473
31.597	455
31.647	456
